id,employee_id,amount,placed_at
1,1,1250.00,2026-01-06
2,3,890.50,2026-01-09
3,7,2400.00,2026-01-14
4,12,315.25,2026-01-18
5,2,1780.00,2026-01-22
6,15,640.75,2026-01-27
7,4,3200.00,2026-02-02
8,23,455.00,2026-02-05
9,6,2875.40,2026-02-11
10,31,720.00,2026-02-14
11,1,980.00,2026-02-19
12,18,1340.60,2026-02-23
13,9,505.00,2026-03-01
14,25,2210.00,2026-03-04
15,5,1615.75,2026-03-09
16,11,390.00,2026-03-13
17,3,2960.00,2026-03-17
18,27,845.20,2026-03-21
19,42,1120.00,2026-03-26
20,8,675.00,2026-03-30
21,2,3450.00,2026-04-03
22,19,1290.80,2026-04-07
23,33,560.00,2026-04-12
24,7,1975.00,2026-04-16
25,14,430.50,2026-04-20
26,36,2680.00,2026-04-25
27,21,915.00,2026-04-29
28,4,1450.00,2026-05-04
29,29,738.90,2026-05-08
30,10,2105.00,2026-05-12
31,44,1830.00,2026-05-17
32,16,495.00,2026-05-21
33,6,3010.25,2026-05-26
34,38,1265.00,2026-05-30
35,13,580.00,2026-06-03
36,26,2340.00,2026-06-08
37,1,1690.00,2026-06-12
38,40,825.40,2026-06-16
39,22,1155.00,2026-06-21
40,32,2790.00,2026-06-25
41,5,610.00,2026-06-29
42,17,1420.00,2026-07-04
43,35,3320.00,2026-07-08
44,28,945.00,2026-07-13
45,3,1585.00,2026-07-17
46,41,2050.75,2026-07-22
47,20,365.00,2026-07-26
48,43,1240.00,2026-07-31
